/Vpeak (frequency=7777.778) X,/Vpeak (frequency=7777.778) Y,/Vin (frequency=7777.778) X,/Vin (frequency=7777.778) Y
0.0001612601684004781,1.729709291768976,0.0001612601684004781,1.72997153549254
0.0001614465185565308,1.729699401323972,0.0001614465185565308,1.729948786688922
0.0001615362628905716,1.72969374439961,0.0001615362628905716,1.729935465506109
0.0001617157515586532,1.729680631374908,0.0001617157515586532,1.72990421083533
0.000161797694759062,1.72967381901576,0.000161797694759062,1.729887897770712
0.0001619615811598796,1.72965860544493,0.0001619615811598796,1.729851428676509
0.0001620441165052165,1.729650135837347,0.0001620441165052165,1.729831122923472
0.0001622091871958902,1.729631569171075,0.0001622091871958902,1.729786615547293
0.0001622918418224756,1.729621456124722,0.0001622918418224756,1.729762378733618
0.0001624571510756465,1.729599596767226,0.0001624571510756465,1.729710001396307
0.0001625398452560689,1.729587845076118,0.0001625398452560689,1.729681847949931
0.0001627052336169136,1.7295627086311,0.0001627052336169136,1.729621637619613
0.0001627605500040062,1.729553815689752,0.0001627605500040062,1.729600338510836
0.0001628711827781915,1.72953529963115,0.0001628711827781915,1.729555995377296
0.0001629264991652841,1.729525676361956,0.0001629264991652841,1.729532951676577
0.0001629484620303189,1.729521787911223,0.0001629484620303189,1.729523641186122
0.0001629622009022471,1.7295204584553,0.0001629622009022471,1.729517770429774
0.0001629757587198897,1.729520457802995,0.0001629757587198897,1.729511941899466
0.0001629856451173726,1.729520457317508,0.0001629856451173726,1.729507669712881
0.0001629946102407076,1.729520456874684,0.0001629946102407076,1.729503779588911
0.0001630125404873777,1.72952045598746,0.0001630125404873777,1.729495953559973
0.000163048400980718,1.729520454211319,0.000163048400980718,1.729480118399202
0.0001631201219673984,1.729520450655952,0.0001631201219673984,1.729447715837273
0.0001632635639407593,1.729520443535855,0.0001632635639407593,1.729379983160793
0.000163550447887481,1.729520429260667,0.000163550447887481,1.729232819497927
0.0001641242157809245,1.729520400572979,0.0001641242157809245,1.728891804189647
0.0001652717515678116,1.729520342655927,0.0001652717515678116,1.728024024020759
0.0001672717515678116,1.729520240022653,0.0001672717515678116,1.725927293835346
0.0001692717515678116,1.729520135288021,0.0001692717515678116,1.723105822442057
0.0001712717515678116,1.729520028506632,0.0001712717515678116,1.719586541349737
0.0001732717515678116,1.729519919733585,0.0001732717515678116,1.715403042800397
0.0001752717515678115,1.729519809022669,0.0001752717515678115,1.710595259124542
0.0001772717515678115,1.729519696425837,0.0001772717515678115,1.70520908157909
0.0001792717515678115,1.729519581993107,0.0001792717515678115,1.699295922306143
0.0001812717515678115,1.729519465772588,0.0001812717515678115,1.692912223593808
0.0001832717515678115,1.729519347810561,0.0001832717515678115,1.686118919123266
0.0001852717515678115,1.729519228151558,0.0001852717515678115,1.678980852344596
0.0001872717515678115,1.729519106838451,0.0001872717515678115,1.671566157533073
0.0001892717515678115,1.729518983912531,0.0001892717515678115,1.663945609433882
0.0001912717515678115,1.729518859413582,0.0001912717515678115,1.656191947703016
0.0001932717515678115,1.729518733379956,0.0001932717515678115,1.64837918259271
0.0001952717515678115,1.72951860584864,0.0001952717515678115,1.640581888508779
0.0001972717515678115,1.729518476855318,0.0001972717515678115,1.632874492182997
0.0001986358757839057,1.729518388050574,0.0001986358757839057,1.627706922960552
0.0002,1.729518298591239,0.0002,1.622638388533946
