/Vpeak (frequency=8888.889) X,/Vpeak (frequency=8888.889) Y,/Vin (frequency=8888.889) X,/Vin (frequency=8888.889) Y
0,1.649834342778162,0,1.65
1.953125e-10,1.649834708849173,1.953125e-10,1.650000872664626
5.859375000000001e-10,1.649835440863604,5.859375000000001e-10,1.650002617993877
1.3671875e-09,1.64983690463856,1.3671875e-09,1.650006108652376
2.9296875e-09,1.649839831787974,2.9296875e-09,1.650013089969331
6.0546875e-09,1.649845686475961,6.0546875e-09,1.65002705260289
1.23046875e-08,1.649857417121843,1.23046875e-08,1.65005497786711
2.48046875e-08,1.649881571593398,2.48046875e-08,1.650110828372051
2.965177585742295e-08,1.649891962660551,2.965177585742295e-08,1.650132485345592
3.456158751874732e-08,1.649903927123478,3.456158751874732e-08,1.650154422559315
3.932748015172627e-08,1.649917481897347,3.932748015172627e-08,1.650175716726592
4.405306008925105e-08,1.649933109530205,4.405306008925105e-08,1.650196830763113
4.985153829910979e-08,1.649954942220271,4.985153829910979e-08,1.650222738523232
5.435845028276537e-08,1.649973228787531,5.435845028276537e-08,1.650242875513934
5.867399785183924e-08,1.649991291146711,5.867399785183924e-08,1.650262157469443
6.32577148396115e-08,1.650010712874659,6.32577148396115e-08,1.650282637594739
6.855536740358987e-08,1.650033242306922,6.855536740358987e-08,1.650306307573144
7.552333810813558e-08,1.650062884768014,7.552333810813558e-08,1.650337440512885
8.624848439755416e-08,1.650108486627812,8.624848439755416e-08,1.65038536043676
1.076987769763913e-07,1.650199652649817,1.076987769763913e-07,1.650481199852505
1.489600941386724e-07,1.650375001487543,1.489600941386724e-07,1.650665552411117
2.073465740659911e-07,1.650623330895577,2.073465740659911e-07,1.650926412678423
2.748337017533767e-07,1.650911707654047,2.748337017533767e-07,1.651227920545882
3.24538593851587e-07,1.651126384476422,3.24538593851587e-07,1.651449972956629
3.625930111581677e-07,1.651292694695343,3.625930111581677e-07,1.651619970392456
4.019513335139157e-07,1.651466441733058,4.019513335139157e-07,1.651795784951097
4.216304946917896e-07,1.651553832283208,4.216304946917896e-07,1.651883689029544
4.306380078666608e-07,1.651593914290871,4.306380078666608e-07,1.651923923586518
4.486530342164032e-07,1.651672190058821,4.486530342164032e-07,1.652004391229542
4.78100806657544e-07,1.651798391331128,4.78100806657544e-07,1.652135921065409
5.015074774376446e-07,1.651898022245577,5.015074774376446e-07,1.65224046393774
5.447235773644925e-07,1.652081640062438,5.447235773644925e-07,1.652433472874
6.101225702437272e-07,1.652358943818407,6.101225702437272e-07,1.652725526279419
7.409205560021966e-07,1.652911124514901,7.409205560021966e-07,1.653309520108652
1.002516527519135e-06,1.654005336146111,1.002516527519135e-06,1.654476946776211
1.315772830017111e-06,1.655298174836694,1.315772830017111e-06,1.655873639546332
1.777937116183078e-06,1.657171915931077,1.777937116183078e-06,1.657930850924582
2.406847146191391e-06,1.659659975378702,2.406847146191391e-06,1.660721538844796
3.096914121931147e-06,1.66231210962553,3.096914121931147e-06,1.663768254724098
3.838609272869935e-06,1.66507681255667,3.838609272869935e-06,1.66701998845055
4.637499499652608e-06,1.667961094870499,4.637499499652608e-06,1.670489651093958
5.483588719524134e-06,1.670916428291943,5.483588719524134e-06,1.674119687159186
6.374516324427301e-06,1.673924913354772,6.374516324427301e-06,1.677883738231208
7.313065979601392e-06,1.676986869773219,7.313065979601392e-06,1.681774152072199
8.30118606907659e-06,1.680099418243209,8.30118606907659e-06,1.685775519373008
9.341326190579654e-06,1.68326098247931,9.341326190579654e-06,1.689869630596708
1.043692562021788e-05,1.686472470031317,1.043692562021788e-05,1.694036316669405
1.159177059863031e-05,1.689735021827604,1.159177059863031e-05,1.698249584852443
1.280997315116615e-05,1.693049849964639,1.280997315116615e-05,1.702476201073412
1.40960962738278e-05,1.696418476267522,1.40960962738278e-05,1.70667458636102
1.545514384805357e-05,1.699842572783498,1.545514384805357e-05,1.710792977876471
1.689258074982915e-05,1.703323893877214,1.689258074982915e-05,1.714767499782335
1.841439185206266e-05,1.706864299369523,1.841439185206266e-05,1.718520150209055
2.002713805727796e-05,1.710465752740978,2.002713805727796e-05,1.721956595349334
2.173801795296645e-05,1.714130316755373,2.173801795296645e-05,1.724963881113192
2.355494230716062e-05,1.717860159887585,2.355494230716062e-05,1.727408214839946
2.548661880238124e-05,1.721657563381126,2.548661880238124e-05,1.729133030558661
2.748661880238124e-05,1.725421665338346,2.748661880238124e-05,1.729949157271326
2.948661880238125e-05,1.729028862253673,2.948661880238125e-05,1.729768784761678
2.961161880238125e-05,1.729249151669055,2.961161880238125e-05,1.729724409387961
2.967411880238124e-05,1.729359077825536,2.967411880238124e-05,1.729700764437815
2.968193130238124e-05,1.729368718079912,2.968193130238124e-05,1.729697740530525
2.969597375821371e-05,1.729369486802892,2.969597375821371e-05,1.729692267108797
2.970071462777433e-05,1.729369219057092,2.970071462777433e-05,1.729690408160204
2.970492574151842e-05,1.729368835649479,2.970492574151842e-05,1.729688752249453
2.971334796900659e-05,1.729367864175343,2.971334796900659e-05,1.729685427203918
2.97244188897254e-05,1.729366345846491,2.97244188897254e-05,1.729681029649448
2.974001922218726e-05,1.729363963555502,2.974001922218726e-05,1.729674781229536
2.976059815780201e-05,1.72936063386867,2.976059815780201e-05,1.72966644620607
2.978698599974551e-05,1.729356281054798,2.978698599974551e-05,1.729655604429757
2.982211335877816e-05,1.729350493700258,2.982211335877816e-05,1.729640903463764
2.987538075599132e-05,1.729341687144524,2.987538075599132e-05,1.729618025969188
2.994949322084721e-05,1.729328994367836,2.994949322084721e-05,1.729585023626325
