/Vin X,/Vin Y
0,0
1.1358272211306e-13,3.74822982973098e-07
2.010832902426436e-13,6.635748578007237e-07
3.760844265018107e-13,1.241078607455975e-06
6.222538915508492e-13,2.053437842117802e-06
9.05630203701879e-13,2.988579672216201e-06
1.243095462335449e-12,4.10221502570698e-06
1.672956791037598e-12,5.520757410424073e-06
2.238178546978003e-12,7.38598920502741e-06
2.994394948116415e-12,9.88150332878417e-06
4.028242094242974e-12,1.329319891100182e-05
5.466406428141897e-12,1.803914121286826e-05
7.444174368292057e-12,2.456577541536379e-05
9.991943305563434e-12,3.297341290835933e-05
1.296659577083397e-11,4.278976604375211e-05
1.622300464272983e-11,5.353591532100844e-05
1.978698263169882e-11,6.52970426846061e-05
2.392478214903704e-11,7.895178109182224e-05
2.958473917761228e-11,9.762963928612054e-05
3.525169653513101e-11,0.0001163305985659323
4.064895138092557e-11,0.0001341415395570544
4.575134280275738e-11,0.0001509794312490994
5.111486828677272e-11,0.00016867906534635
5.712891333454259e-11,0.0001885254140039906
6.400130328577919e-11,0.0002112043008430713
7.199385510696195e-11,0.0002375797218529744
8.161195371731185e-11,0.0002693194472671291
9.372243743483023e-11,0.0003092840435349398
1.092931144871243e-10,0.0003606672778075102
1.276274479368822e-10,0.0004211705781917113
1.464889770825724e-10,0.0004834136243724889
1.655385330618161e-10,0.0005462771591039932
1.852324619616119e-10,0.0006112671244733193
2.058160635313677e-10,0.0006791930096535133
2.277929968597516e-10,0.0007517168896371802
2.518773414021141e-10,0.0008311952266269764
2.789444654209941e-10,0.0009205167358892805
3.101889509463465e-10,0.001023623538122944
3.473918769659082e-10,0.001146393193987497
3.934882080380512e-10,0.001298511086525569
4.512462256509739e-10,0.001489112544648214
5.223492778842327e-10,0.001723752617017968
6.289719451707792e-10,0.002075607419063571
7.743756693321669e-10,0.002555439708796151
8.788526687195683e-10,0.002900213806774575
9.980667802078274e-10,0.003293620374685831
1.172987142587841e-09,0.003870857570539875
1.296861136499425e-09,0.004279641750448104
1.399922076472805e-09,0.004619742852360257
1.505002691376003e-09,0.004966508881540811
1.613927830372264e-09,0.00532596184022847
1.733835121817342e-09,0.005721655901997227
1.869685877592916e-09,0.006169963396056624
2.025510786788994e-09,0.006684185596403679
2.206933411737194e-09,0.007282880258732741
2.422121477538487e-09,0.007993000875877008
2.684132758328792e-09,0.008857638102485013
3.015037384086491e-09,0.009949623367485422
3.454977902955872e-09,0.01140142707975438
4.086191898736187e-09,0.01348443326582942
5.114180459013801e-09,0.01687679551474554
7.170157579569029e-09,0.02366152001257779
1.128211182067948e-08,0.0372309690082423
1.869951488452214e-08,0.06170839911892306
3.353432101220745e-08,0.1106632593402846
6.320393326757808e-08,0.2085729797830077
1.225431577783193e-07,0.4043924206684537
1.522127700336899e-07,0.5023021411111768
1.686570680971987e-07,0.5565683247207557
1.802528589027125e-07,0.5948344343789513
1.876689219794934e-07,0.6193074425323283
1.956597573896195e-07,0.6456771993857442
2.021701025741078e-07,0.6671613384945556
2.07186059522589e-07,0.6837139964245436
2.172179734195513e-07,0.7168193122845193
2.37281801213476e-07,0.7830299440044709
2.601712724979238e-07,0.8585651992431483
2.842188818281258e-07,0.9379223100328151
3.102735768412822e-07,1.023902803576231
3.38433984340697e-07,1.1168321483243
3.692127678173728e-07,1.21840213379733
4.031540374678009e-07,1.330408323643743
4.407264890165305e-07,1.454397413754551
4.824569748762884e-07,1.592108017091752
5.289493585817174e-07,1.745532883319667
5.809229853555143e-07,1.917045851673197
6.392514058197023e-07,2.109529639205018
7.049914962337216e-07,2.326471937571281
7.79418335827465e-07,2.572080508230635
8.640671570025935e-07,2.851421618108559
9.320335785012967e-07,3.075710809054279
1e-06,3.3
1.072711706135432e-06,3.3
1.210812491972134e-06,3.3
1.312312288338904e-06,3.3
1.515311881072446e-06,3.3
1.760867001052875e-06,3.3
2.011654762785855e-06,3.3
2.29889564147442e-06,3.3
2.631680757233475e-06,3.3
3.023471208657788e-06,3.3
3.49065668753124e-06,3.3
4.048640187403895e-06,3.3
4.71563091100839e-06,3.3
5.513573719315168e-06,3.3
6.469264593537582e-06,3.3
7.61566506797037e-06,3.3
8.993036030277889e-06,3.3
1.065035832373833e-05,3.3
1.264710979403301e-05,3.3
1.505547439240659e-05,3.3
1.796308911077822e-05,3.3
2.147641953292633e-05,3.3
2.572489320831058e-05,3.3
3.086596159124779e-05,3.3
3.709130674859383e-05,3.3
4.463446337307408e-05,3.3
5.378018885859854e-05,3.3
6.487598922885114e-05,3.3
7.83463013022015e-05,3.3
9.470994648679555e-05,3.3
0.0001146016148192772,3.3
0.0001387983159426176,3.3
0.0001682519547632525,3.3
0.0002041294635914261,3.3
0.0002478622621837887,3.3
0.0003012072379192762,3.3
0.0003663219598651344,3.3
0.0004458574870416479,3.3
0.0005430729330516969,3.3
0.0006619769440939078,3.3
0.0008075024821506465,3.3
0.0009857228382511086,3.3
0.001204118704954257,3.3
0.00147190850315119,3.3
0.001800457099080378,3.3
0.002203781703764162,3.3
0.002699178294710803,3.3
0.003307997557732178,3.3
0.004056606388579154,3.3
0.004977579761100899,3.3
0.006111178686959167,3.3
0.007507183593845577,3.3
0.009227169399614025,3.3
0.01134732968959862,3.3
0.01396198375233576,3.3
0.01718793309317636,3.3
0.02116987504980653,3.3
0.02608713230904857,3.3
0.03216202101244912,3.3
0.03967025992072862,3.3
0.04895392277361212,3.3
0.06043756054411999,3.3
0.07464827607323,3.3
0.09224072864715258,3.3
0.1140282909171495,3.3
0.1410218892301968,3.3
0.1744784509170574,3.3
