/Vpeak X,/Vpeak Y
0,0
1.1358272211306e-13,1.770301310547208e-07
2.010832902426436e-13,3.118779436707326e-07
3.760844265018107e-13,5.784578384659631e-07
6.222538915508492e-13,9.483728749231355e-07
9.05630203701879e-13,1.369496504795813e-06
1.243095462335449e-12,1.86719577364996e-06
1.672956791037598e-12,2.498137963401382e-06
2.238178546978003e-12,3.326019672764717e-06
2.994394948116415e-12,4.434568714588054e-06
4.028242094242974e-12,5.956639067234864e-06
5.466406428141897e-12,8.093002127804281e-06
7.444174368292057e-12,1.10775794825336e-05
9.991943305563434e-12,1.502105159282883e-05
1.296659577083397e-11,1.979755204960833e-05
1.622300464272983e-11,2.528056292711098e-05
1.978698263169882e-11,3.162759761181984e-05
2.392478214903704e-11,3.94790902563007e-05
2.958473917761228e-11,5.103543961120854e-05
3.525169653513101e-11,6.343445778224817e-05
4.064895138092557e-11,7.58648999856746e-05
4.575134280275738e-11,8.805420212207176e-05
5.111486828677272e-11,0.0001012277204966511
5.712891333454259e-11,0.0001163461023301472
6.400130328577919e-11,0.0001339808843829642
7.199385510696195e-11,0.0001548851256378638
8.161195371731185e-11,0.0001805256398540104
9.372243743483023e-11,0.0002134868609653563
1.092931144871243e-10,0.0002568680667152859
1.276274479368822e-10,0.0003092160471591154
1.464889770825724e-10,0.0003642754105335064
1.655385330618161e-10,0.0004208935642564833
1.852324619616119e-10,0.0004802618982152395
2.058160635313677e-10,0.000542996603695682
2.277929968597516e-10,0.0006105401433119604
2.518773414021141e-10,0.0006850305914125257
2.789444654209941e-10,0.0007691494909647946
3.101889509463465e-10,0.000866611751065935
3.473918769659082e-10,0.0009830128008481739
3.934882080380512e-10,0.001127639755322535
4.512462256509739e-10,0.001309376275692925
5.223492778842327e-10,0.001533803531458236
6.289719451707792e-10,0.001871669764661578
7.743756693321669e-10,0.002335342685518623
8.788526687195683e-10,0.002670722159380349
9.980667802078274e-10,0.003055722376410367
1.172987142587841e-09,0.003624441174327869
1.296861136499425e-09,0.004029358367801832
1.399922076472805e-09,0.00436725184327267
1.505002691376003e-09,0.004712435515803345
1.613927830372264e-09,0.005070747914698364
1.733835121817342e-09,0.005465587238673488
1.869685877592916e-09,0.005913259454740397
2.025510786788994e-09,0.006427024339421196
2.206933411737194e-09,0.007025398209655237
2.422121477538487e-09,0.007735293591395561
2.684132758328792e-09,0.008599761127092213
3.015037384086491e-09,0.00969159371573238
3.454977902955872e-09,0.01114322254222777
4.086191898736187e-09,0.01322598300831907
5.114180459013801e-09,0.01661793855853399
7.170157579569029e-09,0.02340184186352685
1.128211182067948e-08,0.03696964733614933
1.869951488452214e-08,0.06144411631827866
3.353432101220745e-08,0.1103930650546948
6.320393326757808e-08,0.208291003139154
1.225431577783193e-07,0.4040870321785504
1.522127700336899e-07,0.5019851182122281
1.686570680971987e-07,0.5562448728939624
1.802528589027125e-07,0.5945064572394572
1.876689219794934e-07,0.6186937668255221
1.956597573896195e-07,0.6437169524065959
2.021701025741078e-07,0.6631988468310183
2.07186059522589e-07,0.6776443108254456
2.172179734195513e-07,0.7051282671642485
2.37281801213476e-07,0.7550868891108221
2.601712724979238e-07,0.8050412141106512
2.842188818281258e-07,0.8507342587001167
3.102735768412822e-07,0.8937651843520631
3.38433984340697e-07,0.9340786235587737
3.692127678173728e-07,0.972166628904828
4.031540374678009e-07,1.008343657819968
4.407264890165305e-07,1.042701649948045
4.824569748762884e-07,1.075315661445412
5.289493585817174e-07,1.106260178049212
5.809229853555143e-07,1.135626278664184
6.392514058197023e-07,1.163523712523481
7.049914962337216e-07,1.19007145204446
7.79418335827465e-07,1.215390682897562
8.640671570025935e-07,1.239599951898648
9.320335785012967e-07,1.256251043358537
1e-06,1.270958508244194
1.072711706135432e-06,1.284169077600705
1.210812491972134e-06,1.30666938731153
1.312312288338904e-06,1.321075058793002
1.515311881072446e-06,1.345614627629338
1.760867001052875e-06,1.369676799794682
2.011654762785855e-06,1.389680562121795
2.29889564147442e-06,1.408623817640394
2.631680757233475e-06,1.426853324157238
3.023471208657788e-06,1.444720641138441
3.49065668753124e-06,1.462457562007164
4.048640187403895e-06,1.480074442284372
4.71563091100839e-06,1.497570126266874
5.513573719315168e-06,1.514947177514038
6.469264593537582e-06,1.532217121676941
7.61566506797037e-06,1.549399894100702
8.993036030277889e-06,1.566515888827343
1.065035832373833e-05,1.583582290750354
1.264710979403301e-05,1.600611957070266
1.505547439240659e-05,1.617613592480393
1.796308911077822e-05,1.634592541087144
2.147641953292633e-05,1.651551595568777
2.572489320831058e-05,1.668491679840322
3.086596159124779e-05,1.685412413502549
3.709130674859383e-05,1.702312588907101
4.463446337307408e-05,1.719190582074882
5.378018885859854e-05,1.736044698077577
6.487598922885114e-05,1.752873443083243
7.83463013022015e-05,1.769675717883539
9.470994648679555e-05,1.786450934914265
0.0001146016148192772,1.803199067943253
0.0001387983159426176,1.819920648146668
0.0001682519547632525,1.836616721774193
0.0002041294635914261,1.853288783691821
0.0002478622621837887,1.869938698772836
0.0003012072379192762,1.88656862025827
0.0003663219598651344,1.90318091143094
0.0004458574870416479,1.919778074570259
0.0005430729330516969,1.936362689303123
0.0006619769440939078,1.952937361132521
0.0008075024821506465,1.969504680039119
0.0009857228382511086,1.986067188515273
0.001204118704954257,2.002627358117151
0.00147190850315119,2.019187573519151
0.001800457099080378,2.035750123079532
0.002203781703764162,2.052317195013007
0.002699178294710803,2.068890878398576
0.003307997557732178,2.085473168400167
0.004056606388579154,2.10206597523428
0.004977579761100899,2.118671136574875
0.006111178686959167,2.135290433238214
