VT("/Vpeak") (frequency=775) X,VT("/Vpeak") (frequency=775) Y,VT("/Vin") (frequency=775) X,VT("/Vin") (frequency=775) Y
0,1.649832915536485,0,1.65
5.035981138750598e-08,1.6498329160145,5.035981138750598e-08,1.650019618041476
9.912490709335009e-08,1.649832916482454,9.912490709335009e-08,1.65003861484841
1.966550985050383e-07,1.6498329176659,1.966550985050383e-07,1.650076608454673
2.420977461471791e-07,1.649832921711469,2.420977461471791e-07,1.650094310968247
3.027074132409367e-07,1.649833289057896,3.027074132409367e-07,1.650117921897115
3.390529607089304e-07,1.649834369417577,3.390529607089304e-07,1.650132080560022
3.77819076535804e-07,1.649836950652026,3.77819076535804e-07,1.650147182167738
4.17104285617916e-07,1.649841445283327,4.17104285617916e-07,1.650162485986459
4.641700851822328e-07,1.649849129906086,4.641700851822328e-07,1.650180820778911
4.830650313471829e-07,1.649852605458009,4.830650313471829e-07,1.650188181427117
4.983847502739685e-07,1.649855486129104,4.983847502739685e-07,1.650194149321315
5.12585064478797e-07,1.649858173876718,5.12585064478797e-07,1.650199681143301
5.409856928884541e-07,1.649863559445447,5.409856928884541e-07,1.650210744784383
5.977869497077682e-07,1.649874338376204,5.977869497077682e-07,1.650232872054243
7.113894633463965e-07,1.649895901410125,7.113894633463965e-07,1.650277126538825
9.385944906236531e-07,1.649939027367174,9.385944906236531e-07,1.650365635240032
1.393004545178166e-06,1.650025262202816,1.393004545178166e-06,1.650542651191442
2.301824654287193e-06,1.65019765029757,2.301824654287193e-06,1.65089667425679
4.119464872505246e-06,1.650542089942888,4.119464872505246e-06,1.651604660770918
7.754745308941351e-06,1.651229617847719,7.754745308941351e-06,1.653020201225367
1.502530618181356e-05,1.652599287680299,1.502530618181356e-05,1.655847999746616
2.956642792755798e-05,1.655317286787606,2.956642792755798e-05,1.66147807408489
5.864867141904682e-05,1.660669552670741,5.864867141904682e-05,1.672537724309161
9.920021902541624e-05,1.667951542615729,9.920021902541624e-05,1.687158755339646
0.0001455965850134637,1.676033750676084,0.0001455965850134637,1.702084670846528
0.0001955965850134637,1.684458264091778,0.0001955965850134637,1.715187121241635
0.0002455965850134637,1.692599736017207,0.0002455965850134637,1.724444375457042
0.0002939780221872112,1.700220233714064,0.0002939780221872112,1.729225301568778
0.000340272516321165,1.70728533408238,0.000340272516321165,1.729703310588162
0.0003851408933866975,1.71393021019173,0.0003851408933866975,1.726316515719796
0.000396221941979961,1.7155410627193,0.000396221941979961,1.724911296146087
0.0004183840391664881,1.718728214247176,0.0004183840391664881,1.721451415979284
0.0004209659752418634,1.719096540352317,0.0004209659752418634,1.720993393017924
0.0004218631397722141,1.719224380665952,0.0004218631397722141,1.72083160948601
0.0004236574688329154,1.719479839613745,0.0004236574688329154,1.72050398993673
0.0004245546333632661,1.719607458452939,0.0004245546333632661,1.720338160172193
0.0004250032156284415,1.719671240247908,0.0004250032156284415,1.720254741672911
0.0004252275067610292,1.719703124244543,0.0004252275067610292,1.72021290669289
0.0004256760890262046,1.719766878447969,0.0004256760890262046,1.720128985521602
0.0004257882345924985,1.719781204292218,0.0004257882345924985,1.720107952929591
0.000425810320590591,1.719783385414258,0.000425810320590591,1.720103808297117
0.0004258330022169646,1.719785163955553,0.0004258330022169646,1.720099551045797
0.000425852674003409,1.719786324458333,0.000425852674003409,1.720095858037055
0.0004258920175762976,1.719787814025494,0.0004258920175762976,1.720088470090019
0.0004259417677528624,1.719788692593981,0.0004259417677528624,1.720079124304923
0.0004259889434585172,1.719789001002012,0.0004259889434585172,1.720070258346181
0.0004260401767735211,1.719789119449062,0.0004260401767735211,1.720060625632828
0.0004261026560725796,1.719789170569027,0.0004261026560725796,1.720048872586565
0.0004261903127547286,1.71978919676273,0.0004261903127547286,1.720032372467099
0.0004263305648383953,1.719789212422906,0.0004263305648383953,1.720005945475052
0.0004265792641195869,1.719789222607748,0.0004265792641195869,1.719959004047261
0.0004270558902906545,1.719789229028398,0.0004270558902906545,1.719868755253047
0.0004272942033761883,1.719789229004873,0.0004272942033761883,1.719823489691041
0.0004274133599189552,1.719789228588411,0.0004274133599189552,1.719800821645461
0.0004274729381903387,1.719789228329446,0.0004274729381903387,1.719789478809865
0.0004274955838779008,1.719789228324693,0.0004274955838779008,1.719785165859892
0.0004275135224260562,1.719789228324992,0.0004275135224260562,1.719781748798652
0.0004275309222222204,1.719789228325064,0.0004275309222222204,1.719778433853989
0.0004275596813599846,1.719789228325073,0.0004275596813599846,1.719772953671473
0.0004276171996355132,1.719789228325009,0.0004276171996355132,1.719761989201454
0.0004277322361865703,1.719789228324816,0.0004277322361865703,1.719740043844476
0.0004279623092886844,1.719789228324377,0.0004279623092886844,1.719696087486873
0.0004284224554929127,1.719789228323458,0.0004284224554929127,1.719607912390323
0.0004293427479013692,1.719789228321588,0.0004293427479013692,1.719430514223564
0.0004311833327182824,1.719789228317821,0.0004311833327182824,1.719071538501171
0.0004348645023521086,1.719789228310268,0.0004348645023521086,1.718336971012831
0.0004422268416197611,1.719789228295145,0.0004422268416197611,1.716802207219997
0.0004569515201550661,1.719789228264887,0.0004569515201550661,1.713477213055917
0.0004864008772256762,1.71978922820436,0.0004864008772256762,1.705867381915027
0.0005245620368628455,1.719789228125924,0.0005245620368628455,1.694326191816852
0.0005685590100120349,1.71978922803549,0.0005685590100120349,1.679153786363975
0.0006185590100120349,1.719789227932717,0.0006185590100120349,1.660334159047656
0.0006685590100120349,1.719789227829943,0.0006685590100120349,1.640904950143231
0.0007185590100120349,1.719789227727169,0.0007185590100120349,1.622012231427318
