/Vin (Cout=2e-11) X,/Vin (Cout=2e-11) Y
0,0
2.640503870918954e-13,4.356831387016275e-07
4.551627582362893e-13,7.510185510898772e-07
8.37387500525077e-13,1.381689375866377e-06
1.344494920994071e-12,2.218416619640218e-06
1.92789297102397e-12,3.18102340218955e-06
2.631867104419778e-12,4.342580722292633e-06
3.535505099481114e-12,5.833583414143839e-06
4.727768068061051e-12,7.800817312300736e-06
6.329158074744518e-12,1.044311082332845e-05
8.527721551981686e-12,1.407074056076978e-05
1.15889025996611e-11,1.912168928944081e-05
1.576573711435355e-11,2.601346623868335e-05
2.105106854448473e-11,3.47342630983998e-05
2.712093845289931e-11,4.474954844728387e-05
3.373304190700578e-11,5.565951914655955e-05
4.101753798861861e-11,6.767893768122071e-05
4.963546842480791e-11,8.189852290093304e-05
6.224335884664531e-11,0.0001027015420969648
7.679211591630343e-11,0.0001267069912619007
8.766411788188504e-11,0.0001446457945051103
9.76717322403209e-11,0.0001611583581965295
1.089428005108732e-10,0.0001797556208429408
1.221926959684822e-10,0.0002016179483479956
1.378231562001517e-10,0.0002274082077302503
1.570896469239308e-10,0.0002591979174244858
1.830291128708062e-10,0.0003019980362368302
2.179206672928018e-10,0.000359569101033123
2.506236068888425e-10,0.0004135289513665901
2.794652602568994e-10,0.0004611176794238841
3.086517257498334e-10,0.0005092753474872251
3.391022784952276e-10,0.0005595187595171256
3.718114426452588e-10,0.0006134888803646769
4.083783604757701e-10,0.0006738242947850206
4.504987097086243e-10,0.0007433228710192301
5.005246390193946e-10,0.000825865654382001
5.621658202762138e-10,0.0009275736034557528
6.422387150159907e-10,0.001059693879776385
7.457429957354001e-10,0.00123047594296341
8.608909766373207e-10,0.001420470111451579
9.923553884259845e-10,0.001637386390902875
1.169005044334513e-09,0.001928858323151947
1.323989640162794e-09,0.002184582906268609
1.490107775628571e-09,0.002458677829787142
1.631937343039028e-09,0.002692696616014396
1.792505994208657e-09,0.002957634890444284
1.947806311288434e-09,0.003213880413625917
2.119791811485136e-09,0.003497656488950475
2.275504720688064e-09,0.003754582789135305
2.429470486056098e-09,0.004008626301992562
2.59250514228626e-09,0.004277633484772329
2.770639869068418e-09,0.004571555783962889
2.972299854549194e-09,0.004904294760006171
3.206256116235775e-09,0.005290322591789028
3.483864275152004e-09,0.005748376054000806
3.822283103166525e-09,0.006306767120224767
4.249677306595165e-09,0.007011967555882023
4.816920828784663e-09,0.007947919367494692
5.627602667939542e-09,0.009285544402100245
6.937560108212342e-09,0.01144697417855036
9.557474988757941e-09,0.0157698337314506
1.479730474984914e-08,0.02441555283725107
2.417539456068494e-08,0.03988940102513015
4.293157418235654e-08,0.0708370974008883
8.044393342569974e-08,0.1327324901524046
1.554686519123861e-07,0.2565232756554371
3.055180888857589e-07,0.5041048466615022
3.805428073724453e-07,0.6278956321645348
5.305922443458181e-07,0.8754772031706
5.397370013751572e-07,0.8905660522690094
5.534703698715539e-07,0.9132261102880638
5.804310628460547e-07,0.9577112536959903
6.237663899686578e-07,1.029214543448285
6.656174006287051e-07,1.098268711037363
7.078136331738769e-07,1.167892494736897
7.536795410400347e-07,1.243571242716057
8.039671636536003e-07,1.326545820028441
8.603314657146081e-07,1.419546918429103
9.240973196466734e-07,1.524760577417011
9.620486598233366e-07,1.587380288708505
1e-06,1.65
1.048225125184356e-06,1.65
1.131229739087133e-06,1.65
1.196400237430901e-06,1.65
1.326741234118436e-06,1.65
1.492738408310842e-06,1.65
1.657595974099292e-06,1.65
1.843553101335649e-06,1.65
2.056914397742682e-06,1.65
2.305282022475923e-06,1.65
2.598957759196648e-06,1.65
2.947111865666904e-06,1.65
3.360430121947301e-06,1.65
3.851798237580674e-06,1.65
4.43690436239933e-06,1.65
5.135070659432322e-06,1.65
5.969920307716604e-06,1.65
6.970202047650439e-06,1.65
8.170828323019429e-06,1.65
9.614159554449778e-06,1.65
1.13515984730476e-05,1.65
1.34455428308219e-05,1.65
1.597176579791282e-05,1.65
1.902231826118981e-05,1.65
1.994400700667586e-05,1.65
2.040485137941888e-05,1.65
2.132654012490492e-05,1.65
2.135534289820136e-05,1.65
2.138950369365827e-05,1.65
2.140162655265916e-05,1.65
2.141169449401446e-05,1.65
2.142859535761765e-05,1.65
2.144619520135349e-05,1.65
2.147135354150538e-05,1.65
2.150623810966528e-05,1.65
2.155145214192785e-05,1.65
2.160829754136701e-05,1.65
2.167836060015017e-05,1.65
2.176445414552104e-05,1.65
2.18705623102656e-05,1.65
2.200177850829493e-05,1.65
2.216444017409616e-05,1.65
2.236631233602333e-05,1.65
2.26169353673339e-05,1.65
2.292810942999889e-05,1.65
2.331449726022704e-05,1.65
2.379436015937157e-05,1.65
2.439045150669998e-05,1.65
2.51311139081663e-05,1.65
2.605164029405637e-05,1.65
2.719597059245322e-05,1.65
