/Vpeak (Cout=1e-12) X,/Vpeak (Cout=1e-12) Y,/Vpeak (Cout=5.222222e-12) X,/Vpeak (Cout=5.222222e-12) Y,/Vpeak (Cout=7.333333e-12) X,/Vpeak (Cout=7.333333e-12) Y,/Vpeak (Cout=2e-11) X,/Vpeak (Cout=2e-11) Y,/Vin (Cout=1e-12) X,/Vin (Cout=1e-12) Y,/Vpeak (Cout=1.155556e-11) X,/Vpeak (Cout=1.155556e-11) Y
0,-2.335701070393864e-18,0,-2.335701070394259e-18,0,-2.335701070394259e-18,0,-2.335701070394259e-18,0,0,0,-2.335701070394259e-18
0.003,4.294931586397758e-12,0.003,4.262643876713931e-12,0.003,4.246681385370044e-12,0.003,4.153361832749489e-12,0.003,0,0.003,4.21511238857902e-12
0.009000000000000001,7.032654312975966e-10,0.009000000000000001,1.52191784744035e-10,0.009000000000000001,1.102225635153638e-10,0.009000000000000001,4.313985722280743e-11,0.009000000000000001,0,0.009000000000000001,7.173253906801933e-11
0.021,6.58359451910063e-10,0.021,1.681416364906698e-10,0.021,1.230679557470513e-10,0.021,4.871097444855124e-11,0.021,0,0.021,8.075111760422886e-11
0.04500000000000001,2.070628981799694e-13,0.04500000000000001,3.381866017520225e-13,0.04500000000000001,3.514531626176946e-13,0.04500000000000001,3.848656304416105e-13,0.04500000000000001,0,0.04500000000000001,3.667292436179639e-13
0.07500000000000001,-8.266620905851539e-14,0.07500000000000001,-1.067468760473758e-13,0.07500000000000001,-1.09145276727979e-13,0.07500000000000001,-1.15017818425327e-13,0.07500000000000001,0,0.07500000000000001,-1.11880029687835e-13
0.105,-8.34270677537511e-12,0.105,-3.320166310471696e-12,0.105,-2.567785929251655e-12,0.105,-1.227989536764208e-12,0.105,0,0.105,-1.819471618647047e-12
0.135,-2.917004804310675e-15,0.135,-6.371595372175916e-15,0.135,-6.931146792763189e-15,0.135,-9.026070898504267e-15,0.135,0,0.135,-7.741921866053812e-15
0.165,1.837305842038342e-12,0.165,9.265642622106149e-13,0.165,7.279770372956422e-13,0.165,3.507107054619607e-13,0.165,0,0.165,5.21056339761871e-13
0.195,7.724153974303015e-16,0.195,2.006201325212141e-15,0.195,2.211299060980157e-15,0.195,2.902470217714997e-15,0.195,0,0.195,2.492163628058027e-15
0.225,-1.600581971800353e-16,0.225,-4.136954909965873e-16,0.225,-4.539703750606663e-16,0.225,-5.786401683711658e-16,0.225,0,0.225,-5.067985078901061e-16
0.255,-2.654694534069596e-14,0.255,-1.815273787051819e-14,0.255,-1.489145279473328e-14,0.255,-8.397725508985217e-15,0.255,0,0.255,-1.134681321933868e-14
