/Vpeak (pulse_width=1e-05) X,/Vpeak (pulse_width=1e-05) Y,/Vpeak (pulse_width=1.166667e-05) X,/Vpeak (pulse_width=1.166667e-05) Y,/Vpeak (pulse_width=1.5e-05) X,/Vpeak (pulse_width=1.5e-05) Y,/Vpeak (pulse_width=1.333333e-05) X,/Vpeak (pulse_width=1.333333e-05) Y,/Vpeak (pulse_width=1.666667e-05) X,/Vpeak (pulse_width=1.666667e-05) Y,/Vpeak (pulse_width=1.833333e-05) X,/Vpeak (pulse_width=1.833333e-05) Y
1.121590648137605e-10,0.0001137339792669509,1.121590648137605e-10,0.0001137339792669509,1.121590648137605e-10,0.0001137339792669509,1.121590648137605e-10,0.0001137339792669509,1.121590648137605e-10,0.0001137339792669509,1.121590648137605e-10,0.0001137339792669509
1.258579405272122e-10,0.0001313137335001515,1.258579405272122e-10,0.0001313137335001515,1.258579405272122e-10,0.0001313137335001515,1.258579405272122e-10,0.0001313137335001515,1.258579405272122e-10,0.0001313137335001515,1.258579405272122e-10,0.0001313137335001515
1.421513826432361e-10,0.0001527021138837771,1.421513826432361e-10,0.0001527021138837771,1.421513826432361e-10,0.0001527021138837771,1.421513826432361e-10,0.0001527021138837771,1.421513826432361e-10,0.0001527021138837771,1.421513826432361e-10,0.0001527021138837771
1.627306110220606e-10,0.0001804029904811201,1.627306110220606e-10,0.0001804029904811201,1.627306110220606e-10,0.0001804029904811201,1.627306110220606e-10,0.0001804029904811201,1.627306110220606e-10,0.0001804029904811201,1.627306110220606e-10,0.0001804029904811201
1.911115064643985e-10,0.0002197852547508974,1.911115064643985e-10,0.0002197852547508974,1.911115064643985e-10,0.0002197852547508974,1.911115064643985e-10,0.0002197852547508974,1.911115064643985e-10,0.0002197852547508974,1.911115064643985e-10,0.0002197852547508974
2.266845919361715e-10,0.0002708309676540388,2.266845919361715e-10,0.0002708309676540388,2.266845919361715e-10,0.0002708309676540388,2.266845919361715e-10,0.0002708309676540388,2.266845919361715e-10,0.0002708309676540388,2.266845919361715e-10,0.0002708309676540388
2.580228203304411e-10,0.0003170518502287571,2.580228203304411e-10,0.0003170518502287571,2.580228203304411e-10,0.0003170518502287571,2.580228203304411e-10,0.0003170518502287571,2.580228203304411e-10,0.0003170518502287571,2.580228203304411e-10,0.0003170518502287571
2.866703259998455e-10,0.000360091018893529,2.866703259998455e-10,0.000360091018893529,2.866703259998455e-10,0.000360091018893529,2.866703259998455e-10,0.000360091018893529,2.866703259998455e-10,0.000360091018893529,2.866703259998455e-10,0.000360091018893529
3.161508393486103e-10,0.0004049529933864,3.161508393486103e-10,0.0004049529933864,3.161508393486103e-10,0.0004049529933864,3.161508393486103e-10,0.0004049529933864,3.161508393486103e-10,0.0004049529933864,3.161508393486103e-10,0.0004049529933864
3.470245736112677e-10,0.000452369123968364,3.470245736112677e-10,0.000452369123968364,3.470245736112677e-10,0.000452369123968364,3.470245736112677e-10,0.000452369123968364,3.470245736112677e-10,0.000452369123968364,3.470245736112677e-10,0.000452369123968364
3.805505806783352e-10,0.000504194189397683,3.805505806783352e-10,0.000504194189397683,3.805505806783352e-10,0.000504194189397683,3.805505806783352e-10,0.000504194189397683,3.805505806783352e-10,0.000504194189397683,3.805505806783352e-10,0.000504194189397683
4.18335707054036e-10,0.0005628693746465172,4.18335707054036e-10,0.0005628693746465172,4.18335707054036e-10,0.0005628693746465172,4.18335707054036e-10,0.0005628693746465172,4.18335707054036e-10,0.0005628693746465172,4.18335707054036e-10,0.0005628693746465172
4.621784055610561e-10,0.0006311659824367999,4.621784055610561e-10,0.0006311659824367999,4.621784055610561e-10,0.0006311659824367999,4.621784055610561e-10,0.0006311659824367999,4.621784055610561e-10,0.0006311659824367999,4.621784055610561e-10,0.0006311659824367999
5.146909830779242e-10,0.0007131477529505967,5.146909830779242e-10,0.0007131477529505967,5.146909830779242e-10,0.0007131477529505967,5.146909830779242e-10,0.0007131477529505967,5.146909830779242e-10,0.0007131477529505967,5.146909830779242e-10,0.0007131477529505967
