VT("/Vpeak") X,VT("/Vpeak") Y,VT("/Vin") X,VT("/Vin") Y
0,0,0,0
0.003,0,0.003,0
0.009000000000000001,0,0.009000000000000001,0
0.021,-1.216480806392429e-24,0.021,0
0.04500000000000001,-8.304626329823113e-24,0.04500000000000001,0
0.07500000000000001,-2.384440202879222e-23,0.07500000000000001,0
0.105,-4.500038696864139e-23,0.105,0
0.135,-6.919159656497724e-23,0.135,0
0.165,-9.402582926070786e-23,0.165,0
0.195,-1.167340104765126e-22,0.195,0
0.225,-1.347941197910563e-22,0.225,0
0.255,-1.461344135272323e-22,0.255,0
0.2775,-1.487118306589973e-22,0.2775,0
0.3,-1.453445660024343e-22,0.3,0
0.3000000035069514,6.196542099854762e-09,0.3000000035069514,2.04104562521179e-07
0.3000000061232732,1.071996281610329e-08,0.3000000061232732,3.563744650660894e-07
0.3000000113559168,1.957513674970076e-08,0.3000000113559168,6.609142304176974e-07
0.3000000218212038,3.678014209680989e-08,0.3000000218212038,1.269993601780373e-06
0.300000042751778,7.023935910439196e-08,0.300000042751778,2.48815170714356e-06
0.3000000755071812,1.21961203727859e-07,0.3000000755071812,4.394512414137131e-06
0.300000126262407,2.027832286755351e-07,0.300000126262407,7.348456622048749e-06
0.3000002140624689,3.478875901578436e-07,0.3000002140624689,1.245839123982262e-05
0.3000003665918677,6.314424934782912e-07,0.3000003665918677,2.133551634244468e-05
0.3000005531616238,1.15053573907456e-06,0.3000005531616238,3.219370969791191e-05
0.3000006422027064,1.569981332228505e-06,0.3000006422027064,3.737579746712538e-05
0.3000007356916367,2.342810160475564e-06,0.3000007356916367,4.281672825662053e-05
0.3000008112191445,3.43484380973334e-06,0.3000008112191445,4.721231587959762e-05
0.300000870323552,4.72380345307444e-06,0.300000870323552,5.065209599457998e-05
0.3000009267426165,6.395093324408429e-06,0.3000009267426165,5.393558720145908e-05
0.3000009887114036,8.739510371015634e-06,0.3000009887114036,5.754205547832281e-05
0.300001050009146,1.150814963027408e-05,0.300001050009146,6.110946286712049e-05
0.3000011180661584,1.496026240038522e-05,0.3000011180661584,6.507023786294197e-05
0.3000011778149242,1.820549710081794e-05,0.3000011778149242,6.854748297878599e-05
0.3000012372081486,2.154635506809008e-05,0.3000012372081486,7.200402950851892e-05
0.3000013024658472,2.528535449283333e-05,0.3000013024658472,7.580186680783729e-05
0.3000013782125329,2.96665311493166e-05,0.3000013782125329,8.0210126959257e-05
0.300001472544659,3.514650130370775e-05,0.300001472544659,8.569999585124655e-05
0.3000015973731585,4.240967217460921e-05,0.3000015973731585,9.296464281712823e-05
0.3000017749745647,5.274648005737435e-05,0.3000017749745647,0.0001033004637049697
0.3000020569945834,6.915871818344742e-05,0.3000020569945834,0.0001197129805604054
0.3000026183005355,0.00010182030577589,0.3000026183005355,0.0001523784415265688
0.3000037409124396,0.0001671403605947734,0.3000037409124396,0.0002177075299557882
0.3000056829521257,0.0002801339590511962,0.3000056829521257,0.0003307164886251355
0.3000095670314978,0.0005060993748168928,0.3000095670314978,0.0005567124603594562
0.300017335190242,0.0009579424486958032,0.300017335190242,0.001008616634668627
0.3000328715077306,0.001861277683496704,0.3000328715077306,0.001912074012688668
0.3000639441427076,0.003666545370383274,0.3000639441427076,0.003717585734235407
0.3001260894126617,0.007271476385146219,0.3001260894126617,0.007323003815979228
0.3002503799525698,0.01445897506554522,0.3002503799525698,0.01451147264191197
0.3004989610323861,0.02874495005503028,0.3004989610323861,0.02879937212927969
0.3009961231920187,0.05696423213199538,0.3009961231920187,0.05702244127110426
0.3019904475112838,0.1120190768198885,0.3019904475112838,0.1120846216826569
0.3037386575081855,0.2045000102785751,0.3037386575081855,0.204577732595748
0.3042633419862747,0.2312208186521005,0.3042633419862747,0.231302032235159
0.3053127109424532,0.2832807013214411,0.3053127109424532,0.2833686725067718
0.3074114488548101,0.3820935510101124,0.3074114488548101,0.3821942159037415
0.3080200042224949,0.4094763932606474,0.3080200042224949,0.409580552787836
0.3092371149578643,0.4626035519135875,0.3092371149578643,0.4627144495939123
0.309845670325549,0.4883697229076278,0.309845670325549,0.488483874252278
0.3110627810609185,0.5383602682018548,0.3110627810609185,0.5384807013688238
0.3116713364286032,0.562605209496168,0.3116713364286032,0.5627286776510719
0.3128884471639727,0.6096443203590955,0.3128884471639727,0.609773650295275
0.3134970025316574,0.6324578426983152,0.3134970025316574,0.6325900057855244
0.3147141132670269,0.6767197672915837,0.3147141132670269,0.6768574039133025
0.3153226686347116,0.6981863797307649,0.3153226686347116,0.6983266627000061
0.316539779370081,0.7398350798780957,0.316539779370081,0.7399804766329741
0.3171483347377658,0.7600343026065508,0.3171483347377658,0.7601821724317368
0.3183654454731352,0.7992240607734287,0.3183654454731352,0.7993767103658189
0.3189740008408199,0.8182307195179899,0.3189740008408199,0.8183856811551831
0.3201911115761894,0.8551067100437685,0.3201911115761894,0.8552661408014084
0.3207996669438741,0.8729912131286658,0.3207996669438741,0.8731528060630953
0.3220167776792436,0.9076900397965312,0.3220167776792436,0.9078558125382429
0.3226253330469283,0.9245186388721273,0.3226253330469283,0.9246864341288999
0.3238424437822978,0.9571688407855325,0.3238424437822978,0.9573405460886292
0.3244509991499825,0.9730038761824413,0.3244509991499825,0.9731774737094894
0.3256681098853519,1.003726403806568,0.3256681098853519,1.00390365959895
0.3262766652530367,1.018626535417665,0.3262766652530367,1.018805561772759
0.3274937759884061,1.047535198538679,0.3274937759884061,1.047717647958964
0.3281023313560908,1.061555623079816,0.3281023313560908,1.061739729369834
